timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
18692000,0.0,0.0,-1.0,0.021869075,0.1207142,-0.2572958,0.1070384,0.22011074,-7.5998926,0.00968593,0.019917874,-0.8874867,1.6237872,0.0
18788000,0.0,0.0,-1.0,0.01461279,0.119053036,-0.24284178,0.1042099,0.21524899,-7.598322,0.009429586,0.01947712,-0.8874066,1.6237872,0.0
18892000,0.0,0.0,-1.0,0.0074482183,0.11585606,-0.22890341,0.09853035,0.2157737,-7.6053777,0.008919854,0.019533778,-0.88776636,1.6237872,0.0
18996000,0.0,0.0,-1.0,0.0010431428,0.11164871,-0.21675283,0.09955991,0.20438495,-7.614158,0.009016881,0.018510614,-0.888214,1.6237872,0.0
19092000,0.0,0.0,-1.0,-0.005327975,0.11042244,-0.20435345,0.09786835,0.20371068,-7.6093926,0.008860345,0.018442601,-0.88797104,1.6237872,0.0
19188000,0.0,0.0,-1.0,-0.0107869925,0.10780188,-0.19345427,0.0990562,0.20033883,-7.612554,0.008971907,0.018145472,-0.8881322,1.6237872,0.0
19292000,0.0,0.0,-1.0,-0.015748722,0.10379364,-0.18317509,0.09613984,0.18804927,-7.618886,0.008711768,0.017040195,-0.88845503,1.6237872,0.0
19388000,0.0,0.0,-1.0,-0.019637547,0.0991427,-0.1749481,0.09439571,0.18066956,-7.626619,0.008554288,0.016372558,-0.8888494,1.6237872,0.0
19492000,0.0,0.0,-1.0,-0.023389548,0.09517297,-0.16384447,0.09931205,0.18003964,-7.6168194,0.008995748,0.016308106,-0.8883497,1.6237872,0.0
19588000,0.0,0.0,-1.0,-0.026178591,0.090832464,-0.15448552,0.10166056,0.17379272,-7.614024,0.0092076715,0.015740877,-0.8882072,1.6237872,0.0
19692000,0.0,0.0,-1.0,-0.028454037,0.08556813,-0.1455617,0.10613614,0.16554838,-7.621236,0.009615318,0.014997723,-0.88857484,1.6237872,0.0
19796000,0.0,0.0,-1.0,-0.030077154,0.07985199,-0.1377173,0.10876251,0.1568643,-7.6259804,0.009857194,0.014216678,-0.8888168,1.6237872,0.0
19892000,0.0,0.0,-1.0,-0.030320585,0.07719634,-0.12671149,0.11395919,0.16532396,-7.6056323,0.010316891,0.014967018,-0.88777936,1.6237872,0.0
