timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
425763706,425763178,0,nan,nan,-1.3428159,-1.8487953,-0.3815183,-1.1340336,-1.8534724,-0.00029696373,0.10939555,-0.033871375,-0.121262886,-0.11607919,-0.065173015,-0.016174957,-0.0012136542,-0.23836108,-0.59285396,0.18299045,0.16260378,-8.337351e-05,nan,0.33136803,0.01796549,0.01237726,0.046076283,0.03074728,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
425859351,425858800,0,nan,nan,-1.3323421,-1.853019,-0.39156494,-1.1340336,-1.8534724,-0.00029696373,0.1251403,-0.0337785,-0.12293864,-0.1171774,-0.065173015,-0.016174957,-0.0012136542,0.47343692,-0.49236682,-0.05486159,0.1622109,-8.337351e-05,nan,0.34141466,0.017771006,0.012250229,0.045726005,0.030566763,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
425955011,425954466,0,nan,nan,-1.3202509,-1.857388,-0.40284273,-1.1340336,-1.8534724,-0.00029696373,0.13908784,-0.03424446,-0.13977797,-0.13353744,-0.065173015,-0.016174957,-0.0012136542,0.19026415,-0.0049679885,-0.2681891,0.16309632,-8.337351e-05,nan,0.35269246,0.01764082,0.012164441,0.045596376,0.030478258,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
426061225,426060698,0,nan,nan,-1.3062404,-1.8625039,-0.4153191,-1.1340336,-1.8534724,-0.00029696373,0.14683077,-0.030182164,-0.13030538,-0.12367675,-0.065173015,-0.016174957,-0.0012136542,0.38697276,0.7456486,-0.2727198,0.16266324,-8.337351e-05,nan,0.3651688,0.017797623,0.012268539,0.045761187,0.030588187,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
426156980,426156395,0,nan,nan,-1.292685,-1.8665144,-0.4274253,-1.1340336,-1.8534724,-0.00029696373,0.15081409,-0.025081096,-0.14065392,-0.13380352,-0.065173015,-0.016174957,-0.0012136542,0.04085606,0.42041376,0.10675913,0.16402262,-8.337351e-05,nan,0.37727502,0.017657481,0.012176608,0.04559268,0.030487066,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
426263265,426262667,0,nan,nan,-1.2778298,-1.8705535,-0.44061667,-1.1340336,-1.8534724,-0.00029696373,0.14685039,-0.025180964,-0.12671591,-0.11984765,-0.065173015,-0.016174957,-0.0012136542,0.033576604,0.018968921,0.21229662,0.1654113,-8.337351e-05,nan,0.3904664,0.017932156,0.01235548,0.04602246,0.030755408,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
426358944,426358339,0,nan,nan,-1.2642783,-1.8739066,-0.45188516,-1.1340336,-1.8534724,-0.00029696373,0.15759578,-0.016718607,-0.13772582,-0.13089551,-0.065173015,-0.016174957,-0.0012136542,0.35833052,0.36072713,-0.24434327,0.16600174,-8.337351e-05,nan,0.4017349,0.017751945,0.012239819,0.045688406,0.030576328,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
426465140,426464611,0,nan,nan,-1.2486047,-1.8769573,-0.4660749,-1.1340336,-1.8534724,-0.00029696373,0.14932324,-0.019233206,-0.13147512,-0.12476216,-0.065173015,-0.016174957,-0.0012136542,-0.18374869,0.41871825,0.40043,0.16563691,-8.337351e-05,nan,0.41592464,0.017994806,0.01239979,0.046088822,0.030796485,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
426560807,426560240,0,nan,nan,-1.2352047,-1.8799,-0.4779388,-1.1340336,-1.8534724,-0.00029696373,0.14630435,-0.016767547,-0.13608058,-0.12947755,-0.065173015,-0.016174957,-0.0012136542,-0.20135213,0.39607242,-0.6212095,0.1661498,-8.337351e-05,nan,0.42778853,0.0177905,0.01226802,0.045706417,0.030589975,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
426656426,426655898,0,nan,nan,-1.2215983,-1.8823007,-0.49086273,-1.1340336,-1.8534724,-0.00029696373,0.14574125,-0.011449982,-0.14088196,-0.13444376,-0.065173015,-0.016174957,-0.0012136542,-0.1753913,0.4039857,0.30545342,0.16601093,-8.337351e-05,nan,0.44071245,0.017651796,0.012177347,0.045555145,0.030485116,inf,inf,inf,inf,1,1,1,1,10,7,6,6,8,1,0,0,1,0
