timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
136197019,136196882,0.63936174,0.60228217,0.7734831,0.39136964,nan,nan,nan,nan,0
136298333,136298196,0.6021965,0.68885434,0.73056245,0.43498915,nan,nan,nan,nan,0
136395939,136395804,0.5150982,0.7643299,0.7430343,0.460119,nan,nan,nan,nan,0
136497256,136497118,0.5033154,0.76916254,0.7153821,0.525969,nan,nan,nan,nan,0
136594864,136594726,0.47321263,0.7791555,0.7002072,0.566159,nan,nan,nan,nan,0
136697415,136697275,0.5008237,0.8360945,0.66066724,0.52421725,nan,nan,nan,nan,0
136795018,136794883,0.4360656,0.7593561,0.71710634,0.6212212,nan,nan,nan,nan,0
136896332,136896197,0.4362009,0.7803568,0.69405264,0.62391686,nan,nan,nan,nan,0
136997644,136997511,0.47184506,0.8120623,0.6811482,0.5878076,nan,nan,nan,nan,0
137096488,137096354,0.44629204,0.8068933,0.67916447,0.6189141,nan,nan,nan,nan,0
137197804,137197668,0.43220374,0.7652383,0.7150718,0.6482315,nan,nan,nan,nan,0
137295416,137295276,0.47432277,0.8408333,0.6695885,0.57977587,nan,nan,nan,nan,0
137396726,137396590,0.45860142,0.8171611,0.6845266,0.5866033,nan,nan,nan,nan,0
137495571,137495434,0.478233,0.8174159,0.69813734,0.587713,nan,nan,nan,nan,0
137596884,137596748,0.46546277,0.8190351,0.6963724,0.577073,nan,nan,nan,nan,0
137698206,137698062,0.52008814,0.8214758,0.68566084,0.56680024,nan,nan,nan,nan,0
137795805,137795669,0.46780652,0.8225266,0.7149061,0.5650105,nan,nan,nan,nan,0
137897131,137896983,0.48387915,0.79219747,0.72372687,0.5694999,nan,nan,nan,nan,0
137995966,137995826,0.5098475,0.8231468,0.7104585,0.54955643,nan,nan,nan,nan,0
138097293,138097141,0.48725525,0.7998586,0.71094215,0.58193964,nan,nan,nan,nan,0
138194887,138194748,0.46031615,0.8043539,0.7427472,0.5785459,nan,nan,nan,nan,0
138296204,138296063,0.50051224,0.7860242,0.71696186,0.5851209,nan,nan,nan,nan,0
138397511,138397377,0.52835983,0.8110547,0.699967,0.56539303,nan,nan,nan,nan,0
