timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
681305708,681305421,0.9997309,0.011869698,0.0037994105,-0.01956604,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681355121,681354839,0.9997297,0.012453411,0.0037496295,-0.019274125,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681404528,681404257,0.9997178,0.013798314,0.0028410086,-0.019132692,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681453980,681453677,0.999717,0.013968991,0.0032743341,-0.018978253,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681503362,681503094,0.9996917,0.015251368,0.00455644,-0.019056944,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681557721,681557455,0.9996874,0.015384828,0.004898128,-0.019094367,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681607157,681606873,0.9996909,0.015464789,0.0041732364,-0.019016951,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681656771,681656292,0.9996787,0.016066778,0.003673128,-0.01926043,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681705986,681705710,0.99968207,0.015885739,0.0043989164,-0.019081503,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681755389,681755129,0.9996719,0.016021522,0.005656143,-0.019170806,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681804807,681804547,0.9996699,0.01603819,0.0054303636,-0.019322256,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681854251,681853965,0.9996655,0.016658707,0.00437468,-0.019297516,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681908631,681908326,0.99968153,0.015640976,0.0039665764,-0.019404445,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
681953062,681952802,0.9996788,0.015688067,0.0043943906,-0.019418165,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682002481,682002221,0.9996894,0.015278854,0.004548534,-0.019156208,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682056846,682056581,0.99970907,0.014346281,0.0039463528,-0.018984966,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682106294,682106000,0.9997074,0.014503577,0.0036676396,-0.019008007,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682155679,682155418,0.9997195,0.013788746,0.0044405293,-0.018737914,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682205120,682204837,0.9997122,0.014110147,0.005027501,-0.018737055,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682254534,682254255,0.9997196,0.014006779,0.0040001837,-0.018668974,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682303973,682303676,0.9997303,0.013855707,0.003428473,-0.018323649,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682353360,682353092,0.99972963,0.013865598,0.0042881942,-0.018165676,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682407712,682407452,0.99972814,0.013792341,0.004483491,-0.01825617,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682457132,682456871,0.9997284,0.013973224,0.0032458296,-0.018371008,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682506584,682506289,0.9997264,0.014534089,0.00282168,-0.01810644,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682555998,682555708,0.99973774,0.013609316,0.004159686,-0.017940812,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682605389,682605126,0.99972224,0.014016337,0.0056130397,-0.018100627,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682654805,682654544,0.9997206,0.014010875,0.005345255,-0.018273668,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682704223,682703963,0.9997133,0.01486488,0.004021022,-0.018337889,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682758611,682758323,0.9997211,0.014770772,0.0039277966,-0.018001167,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682808034,682807742,0.9997349,0.013493503,0.0052571488,-0.017900988,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682852476,682852218,0.9997256,0.0136895245,0.006275612,-0.017947152,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682901899,682901637,0.99973583,0.013268318,0.005309617,-0.018003823,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
682956297,682955997,0.9997344,0.014151292,0.003331045,-0.017884664,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683005678,683005415,0.9997393,0.014248039,0.0032481847,-0.017549949,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683055120,683054834,0.9997521,0.013489092,0.0044321143,-0.017151466,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
683104540,683104252,0.99974114,0.014277794,0.0051375558,-0.01695239,-0.24799058,3.1249336e-10,5.213041e-10,-0.96876246,3
