timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
13884000,0.0,0.0,-1.0,-0.00915651,-0.006565306,-1.1412885,-0.018485012,-0.03665386,-5.05541,-0.0014283636,-0.0028322968,-0.7577542,1.6235263,0.0
13988000,0.0,0.0,-1.0,-0.006802012,-0.007256129,-1.1418754,-0.0124806585,-0.033916898,-5.300259,-0.0009805735,-0.002664764,-0.77023804,1.6235263,0.0
14092000,0.0,0.0,-1.0,-0.007863962,-0.0072063133,-1.1411761,-0.023309663,-0.03514755,-5.5422297,-0.0018592409,-0.0028034626,-0.7825751,1.6235263,0.0
14188000,0.0,0.0,-1.0,-0.008606201,-0.0074225953,-1.141748,-0.022913363,-0.03864432,-5.776504,-0.0018613773,-0.003139289,-0.7945197,1.6235263,0.0
14292000,0.0,0.0,-1.0,-0.009162238,-0.007917584,-1.143306,-0.02817562,-0.045551438,-6.029709,-0.0023187716,-0.003748751,-0.80742955,1.6235263,0.0
14388000,0.0,0.0,-1.0,-0.009530753,-0.008628429,-1.1454451,-0.029222101,-0.046450205,-6.265851,-0.002438708,-0.003876466,-0.81946945,1.6235263,0.0
14492000,0.0,0.0,-1.0,-0.009521283,-0.00803961,-1.1439403,-0.021494297,-0.041559067,-6.476555,-0.0018199063,-0.0035187756,-0.83021235,1.6235263,0.0
14588000,0.0,0.0,-1.0,-0.009253775,-0.0077870493,-1.1425886,-0.013961682,-0.030438218,-6.6144104,-0.0011930958,-0.0026010985,-0.83724105,1.6235263,0.0
14684000,0.0,0.0,-1.0,-0.0086104255,-0.007555946,-1.1400894,-0.001896346,-0.027256565,-6.7282248,-0.00016287754,-0.0023410718,-0.843044,1.6235263,0.0
14788000,0.0,0.0,-1.0,-0.0074456837,-0.007259697,-1.1353335,0.0048389356,-0.017063815,-6.845275,0.00042318122,-0.0014922883,-0.8490119,1.6235263,0.0
14892000,0.0,0.0,-1.0,-0.005860199,-0.008486497,-1.1256629,0.013537515,-0.006168996,-6.962015,0.0012012852,-0.0005474213,-0.854964,1.6235263,0.0
14988000,0.0,0.0,-1.0,-0.0031916888,-0.007684076,-1.1169876,0.14344166,0.15229772,-7.1334414,0.012634029,0.013414051,-0.8637043,1.6235263,0.0
15092000,0.0,0.0,-1.0,0.004357496,-0.00072143757,-1.1087196,0.29475862,0.33640385,-7.3184485,0.026244264,0.029952204,-0.873137,1.6235263,0.0
15188000,0.0,0.0,-1.0,0.016311688,0.012055579,-1.1009061,0.40002415,0.4585657,-7.4196153,0.035825986,0.041068945,-0.87829506,1.6235263,0.0
15284000,0.0,0.0,-1.0,0.028119115,0.028871268,-1.0871102,0.44769722,0.52277654,-7.43748,0.040137086,0.04686812,-0.87920594,1.6235263,0.0
15388000,0.0,0.0,-1.0,0.044303678,0.05029494,-1.0701822,0.48058754,0.56042343,-7.4241605,0.04305347,0.050205577,-0.8785268,1.6235263,0.0
15492000,0.0,0.0,-1.0,0.062200014,0.072798416,-1.0505884,0.50518227,0.5778501,-7.4010024,0.04519628,0.051697526,-0.8773461,1.6235263,0.0
15588000,0.0,0.0,-1.0,0.079169735,0.09326541,-1.0303195,0.518967,0.5923277,-7.374077,0.046356514,0.05290943,-0.8759733,1.6235263,0.0
15684000,0.0,0.0,-1.0,0.099401794,0.117030285,-1.005084,0.5429906,0.6150927,-7.3279247,0.04837183,0.05479498,-0.87362015,1.6235263,0.0
15788000,0.0,0.0,-1.0,0.11932834,0.1401951,-0.976547,0.54637617,0.6371104,-7.290296,0.048566725,0.056631982,-0.87170166,1.6235263,0.0
15892000,0.0,0.0,-1.0,0.13685952,0.1605927,-0.9474593,0.54568386,0.6308067,-7.2593503,0.048417337,0.055970095,-0.87012386,1.6235263,0.0
15988000,0.0,0.0,-1.0,0.15073344,0.17655052,-0.92018163,0.5342197,0.611422,-7.2314806,0.047322728,0.054161537,-0.8687029,1.6235263,0.0
16084000,0.0,0.0,-1.0,0.16501102,0.19360848,-0.8901862,0.527797,0.60967726,-7.201132,0.04667089,0.05391122,-0.86715555,1.6235263,0.0
16188000,0.0,0.0,-1.0,0.17713615,0.20788275,-0.857968,0.51747465,0.5953771,-7.1820326,0.045706417,0.052587222,-0.86618173,1.6235263,0.0
16292000,0.0,0.0,-1.0,0.18601765,0.21802026,-0.8260393,0.49635538,0.5655666,-7.162999,0.04379212,0.049898446,-0.8652113,1.6235263,0.0
16388000,0.0,0.0,-1.0,0.19148074,0.22390981,-0.79700255,0.47288424,0.53948116,-7.1525693,0.041695252,0.047567252,-0.8646796,1.6235263,0.0
16492000,0.0,0.0,-1.0,0.19404182,0.22989963,-0.7617954,0.44157135,0.5137302,-7.1198177,0.038859427,0.045209594,-0.8630097,1.6235263,0.0
16588000,0.0,0.0,-1.0,0.19403216,0.23194498,-0.73106766,0.4127233,0.49141255,-7.110644,0.03630137,0.04322254,-0.8625419,1.6235263,0.0
16692000,0.0,0.0,-1.0,0.19177085,0.23090449,-0.6995113,0.38855544,0.45757496,-7.1091485,0.034171727,0.04024169,-0.8624657,1.6235263,0.0
16788000,0.0,0.0,-1.0,0.18796855,0.22730397,-0.6717659,0.36180726,0.42648542,-7.1108956,0.03182282,0.037511595,-0.8625548,1.6235263,0.0
16884000,0.0,0.0,-1.0,0.18446274,0.22872083,-0.64093494,0.339356,0.42163903,-7.0877957,0.02980763,0.037035033,-0.861377,1.6235263,0.0
16988000,0.0,0.0,-1.0,0.17878957,0.22649622,-0.60967946,0.31555134,0.40095797,-7.0772963,0.027699208,0.035196237,-0.8608417,1.6235263,0.0
17092000,0.0,0.0,-1.0,0.17157634,0.2210151,-0.5808468,0.29618242,0.36884427,-7.0778627,0.026000397,0.03237902,-0.8608706,1.6235263,0.0
17188000,0.0,0.0,-1.0,0.16384591,0.21356353,-0.5563432,0.26921716,0.3421846,-7.08442,0.023642259,0.030050151,-0.86120486,1.6235263,0.0
17292000,0.0,0.0,-1.0,0.15483156,0.20985232,-0.5282672,0.25229532,0.33476713,-7.073806,0.022141797,0.029379642,-0.8606637,1.6235263,0.0
17388000,0.0,0.0,-1.0,0.1457788,0.20357889,-0.5042767,0.22876558,0.31265023,-7.0731196,0.020076407,0.027438102,-0.8606287,1.6235263,0.0
17492000,0.0,0.0,-1.0,0.1353933,0.19438398,-0.4803018,0.2139977,0.29265362,-7.0785494,0.018786894,0.02569211,-0.8609055,1.6235263,0.0
17588000,0.0,0.0,-1.0,0.12560546,0.18419515,-0.4598596,0.20075773,0.26607955,-7.0853086,0.017631477,0.023368344,-0.86125016,1.6235263,0.0
17692000,0.0,0.0,-1.0,0.11518867,0.17796992,-0.4355672,0.18509912,0.26522914,-7.0702605,0.016241342,0.02327227,-0.86048293,1.6235263,0.0
17788000,0.0,0.0,-1.0,0.105579324,0.1700406,-0.4150737,0.17387813,0.25172958,-7.065407,0.015252926,0.022082206,-0.86023545,1.6235263,0.0
17892000,0.0,0.0,-1.0,0.09532199,0.15966359,-0.39495188,0.16567922,0.2339225,-7.073288,0.014540352,0.020529525,-0.8606373,1.6235263,0.0
17988000,0.0,0.0,-1.0,0.086099334,0.14885198,-0.3780098,0.15251654,0.21102402,-7.080771,0.013391811,0.018529097,-0.86101884,1.6235263,0.0
18092000,0.0,0.0,-1.0,0.07793755,0.14173874,-0.35786605,0.14932355,0.21012428,-7.077727,0.013107967,0.018445196,-0.8608636,1.6235263,0.0
18188000,0.0,0.0,-1.0,0.070421696,0.13343318,-0.34120804,0.14279245,0.19771934,-7.0811486,0.012538525,0.017361626,-0.8610381,1.6235263,0.0
